especie,org,long_total,long_estandar,long_cefalica,diam_ojo,long_hocico,long_mandibular,long_postorbital,long_pedunculo_caudal,Long_base_aleta_anal,dist_hocico_1a_aleta_dorsal,dist_hocico_2a_aleta_dorsal,dist_hocico_aleta_pelvica,long_base_aleta_pelvica,alt_máxima_cuerpo,alt_min_pedunculo_caudal,alt_aleta_anal,alt_aleta_pectoral,alt_1a_aleta_dorsal,alt_2a_aleta_dorsal
especie1,1,100,86,22,6,8,9,9,19,18,44,56,36,3,17,7,14,16,8,13
especie1,2,89,74,19,6,6,8,8,18,14,39,48,31,2,13,6,12,14,7,11
especie1,3,114,95,24,7,9,11,11,20,21,49,61,40,6,20,8,15,18,7,16
especie1,4,88,74,19,5,6,8,8,17,15,39,48,31,2,14,6,12,14,7,11
especie1,5,124,103,30,8,11,14,14,22,21,57,73,45,3,19,10,19,19,10,16
especie1,12,101,84,23,6,8,10,10,17,17,46,57,39,5,17,8,15,17,8,13
especie1,13,100,86,23,6,8,10,9,19,18,47,57,38,5,18,9,16,20,8,13
especie1,6,113,93,26,7,9,12,12,19,19,52,60,42,3,18,10,17,18,8,16
especie1,7,109,93,25,7,8,10,10,20,19,48,60,37,5,16,8,15,16,8,13
especie1,8,129,109,32,8,11,14,14,19,22,60,73,48,3,18,9,17,20,5,17
especie1,9,118,98,28,7,9,13,12,19,22,55,67,42,3,17,8,17,18,8,12
especie1,10,113,100,26,7,8,15,11,22,20,54,67,42,3,19,7,14,19,8,13
especie1,11,96,81,21,6,8,10,10,17,17,43,53,34,4,18,8,14,16,8,13
especie1,14,98,80,24,6,9,11,10,15,15,46,55,38,4,15,8,15,16,7,14
especie1,15,92,76,22,7,8,10,10,15,18,42,52,35,5,16,9,14,15,8,13
especie1,16,99,82,23,6,8,10,10,17,18,44,55,35,5,16,9,15,16,8,13
especie1,17,88,75,18,6,6,9,10,16,16,40,50,32,5,15,8,14,15,7,12
especie1,18,99,88,23,6,7,10,10,19,19,47,58,38,5,18,8,13,16,8,13
especie1,19,129,112,28,8,9,12,12,25,23,56,70,46,5,19,10,16,22,10,22
especie1,20,132,112,30,8,10,13,13,20,23,59,72,49,5,20,10,18,21,11,16
especie1,21,114,95,24,7,8,10,10,20,20,50,62,40,5,19,9,16,19,10,15
especie1,22,128,112,28,8,8,11,11,20,23,57,72,48,5,20,10,17,22,11,16
especie1,23,105,88,24,6,7,8,10,18,19,49,58,38,5,16,8,15,18,6,15
especie1,25,98,81,19,5,6,7,8,20,15,42,53,36,4,17,6,13,15,7,12
especie1,26,111,91,22,6,8,10,11,20,18,49,60,39,5,15,8,15,15,8,13
especie1,27,98,82,22,6,7,10,10,17,17,41,51,39,4,18,7,14,15,8,13
especie1,28,96,84,18,5,6,8,8,21,16,40,50,40,4,12,6,10,11,7,12
especie1,29,125,105,28,8,10,14,14,22,21,57,73,45,5,19,10,19,19,10,16
especie1,30,107,89,23,6,8,10,11,18,17,42,53,39,5,16,8,12,16,7,13
especie1,31,112,95,24,6,8,10,10,20,21,48,62,40,5,18,9,14,18,8,14
especie1,32,102,83,23,6,8,10,10,19,19,45,57,34,5,15,7,12,18,7,14
especie1,33,87,80,20,5,7,9,9,17,19,41,52,34,3,14,6,10,12,6,11
especie1,34,121,109,28,8,9,12,12,23,23,56,67,48,5,18,10,17,19,10,17
especie1,35,103,87,24,6,8,10,10,19,19,44,54,35,3,15,7,12,18,7,14
especie1,36,103,87,23,6,8,10,10,20,19,45,53,35,3,15,7,12,18,7,14
especie1,37,110,98,25,6,7,10,10,20,20,51,62,43,5,18,9,12,16,7,14
especie1,38,114,98,25,6,8,10,10,20,20,52,63,42,5,17,9,11,16,7,14
especie1,40,116,98,25,6,9,11,11,21,21,52,62,38,5,17,9,12,16,7,13
especie1,41,118,98,25,8,8,11,11,21,20,53,62,41,5,18,9,13,17,7,14
especie1,42,117,98,25,8,8,11,11,21,21,52,62,41,5,18,9,12,16,8,13
especie1,43,128,115,30,7,10,11,11,14,23,60,73,50,5,19,7,15,20,10,15
especie1,44,111,98,25,8,8,10,10,20,19,51,62,40,5,19,8,14,18,9,13
especie1,45,119,113,22,7,8,11,11,23,22,52,63,44,5,18,9,18,18,10,16
especie1,46,103,87,22,6,8,9,9,18,18,46,56,35,3,17,7,13,15,8,13
especie1,47,139,118,30,8,9,12,14,24,23,65,78,53,5,23,10,16,21,8,15
especie1,48,191,170,46,10,16,22,21,38,30,80,99,66,6,32,12,27,12,21,13
especie1,49,165,140,38,11,12,18,17,31,26,71,97,61,6,31,10,16,21,11,17
especie1,50,170,150,39,10,13,19,18,29,28,78,97,65,6,24,11,18,24,12,18
especie1,51,182,160,45,10,15,21,21,36,30,89,105,72,7,33,12,21,24,12,20
especie1,52,200,178,50,11,18,23,22,39,35,94,116,49,6,30,13,22,24,15,22
especie1,53,240,225,62,12,21,29,27,39,44,109,136,100,6,42,15,28,37,17,28
especie1,54,178,150,44,9,14,19,20,34,30,81,98,68,6,27,11,14,27,13,21
especie1,55,185,162,48,10,16,22,21,34,31,89,109,72,6,31,12,20,24,11,20
especie1,56,230,197,58,12,22,27,25,40,40,112,134,92,7,38,15,26,30,15,26
especie1,57,202,173,50,10,19,24,21,35,35,94,116,85,7,33,14,24,29,14,24
especie1,58,120,100,27,7,9,12,12,22,20,55,67,41,4,19,7,16,18,9,15
especie1,59,122,103,27,7,9,12,12,22,21,55,67,46,5,20,9,15,19,10,14
especie1,60,126,115,29,7,9,13,12,22,21,58,71,51,6,17,7,15,18,10,17
especie1,61,130,110,29,7,9,12,13,21,23,58,71,49,5,22,8,16,18,11,17
especie1,62,118,99,25,7,9,12,12,21,21,51,63,43,4,18,7,16,18,9,14
especie1,63,122,107,28,7,9,12,13,22,21,55,67,46,5,18,8,15,17,9,13
especie1,64,120,102,28,7,10,12,11,21,28,52,66,44,5,18,8,14,18,9,14
especie1,65,115,107,29,8,10,12,13,23,22,57,72,45,5,19,7,16,18,10,16
especie1,66,123,112,28,7,10,13,12,22,22,58,71,46,5,21,8,15,19,9,15
especie1,67,122,104,27,7,9,12,13,21,21,56,79,44,4,20,8,15,18,10,14
especie1,68,132,112,31,8,10,13,13,23,23,50,76,49,5,22,9,17,20,11,17
especie1,69,130,108,29,7,10,13,13,21,23,66,74,51,5,20,9,17,20,10,17
especie1,70,120,99,28,7,10,12,12,22,21,54,69,47,5,20,8,16,18,10,16
