especie,org,long_total
especie1,1,100
especie1,2,89
especie1,3,114
especie1,4,88
especie1,5,124
especie1,12,101
especie1,13,100
especie1,6,113
especie1,7,109
especie1,8,129
especie1,9,118
especie1,10,113
especie1,11,96
especie1,14,98
especie1,15,92
especie1,16,99
especie1,17,88
especie1,18,99
especie1,19,129
especie1,20,132
especie1,21,114
especie1,22,128
especie1,23,105
especie1,25,98
especie1,26,111
especie1,27,98
especie1,28,96
especie1,29,125
especie1,30,107
especie1,31,112
especie1,32,102
especie1,33,87
especie1,34,121
especie1,35,103
especie1,36,103
especie1,37,110
especie1,38,114
especie1,40,116
especie1,41,118
especie1,42,117
especie1,43,128
especie1,44,111
especie1,45,119
especie1,46,103
especie1,47,139
especie1,48,191
especie1,49,165
especie1,50,170
especie1,51,182
especie1,52,200
especie1,53,240
especie1,54,178
especie1,55,185
especie1,56,230
especie1,57,202
especie1,58,120
especie1,59,122
especie1,60,126
especie1,61,130
especie1,62,118
especie1,63,122
especie1,64,120
especie1,65,115
especie1,66,123
especie1,67,122
especie1,68,132
especie1,69,130
especie1,70,120
especie1,71,123
especie1,72,121
especie1,73,120
especie1,74,121
especie1,75,125
especie1,76,120
especie1,77,115
especie1,78,130
especie1,79,115
especie1,80,123
especie1,81,115
especie1,82,126
especie1,83,130
especie1,84,123
especie1,85,133
especie1,86,130
especie1,87,127
especie1,88,130
especie1,89,130
especie1,90,118
especie1,91,132
especie1,92,201
especie1,24,113
especie1,39,118
especie2,1,155
especie2,2,123
especie2,3,166
especie2,4,110
especie2,5,117
especie2,6,107
especie2,7,155
especie2,8,152
especie2,9,99
especie2,10,148
especie2,11,95
especie2,12,155
especie3,1,230
especie3,2,130
especie3,3,300
especie3,4,258
especie3,5,132
especie3,6,117
especie3,7,130
especie3,8,128
especie3,9,127
especie3,10,221
especie3,11,160
especie3,12,100
especie3,13,111
especie3,14,118
especie3,15,137
especie3,16,114
especie3,17,121
especie3,18,120
especie3,19,220
especie3,20,240
especie3,21,200
especie3,22,225
especie3,23,226
especie3,24,230
especie3,25,232
especie3,26,200
especie3,27,223
especie3,28,210
especie3,29,182
especie3,30,320
especie3,31,320
especie3,32,220
especie3,33,230
especie3,34,173
especie3,35,207
especie3,36,174
especie3,37,208
especie3,38,190
especie3,39,215
especie3,40,226
especie4,1,97
especie4,2,109
especie4,3,99
especie4,4,105
especie4,5,116
especie4,6,125
especie4,7,93
especie4,8,81
especie4,9,102
especie4,10,114
especie4,11,99
especie4,12,82
especie4,13,94
especie4,14,97
especie4,15,92
especie4,16,83
especie4,17,80
especie4,18,82
especie4,19,91
especie4,20,87
especie4,21,84
especie4,22,84
especie4,23,90
especie4,24,91
especie4,25,76
especie4,26,130
especie4,27,91
especie4,28,85
especie4,29,93
especie4,30,85
especie4,31,84
especie4,32,77
especie4,33,85
especie4,34,87
especie4,35,82
especie4,36,82
especie4,37,83
especie4,38,77
especie4,39,78
especie4,40,80
especie4,41,88
especie4,42,78
especie4,43,86
especie4,44,82
especie4,45,72
especie4,46,80
especie4,47,78
especie4,48,75
especie4,49,76
especie4,50,82
especie4,51,71
especie4,52,82
especie4,53,75
especie4,54,72
especie4,55,76
especie4,56,79
especie4,57,78
especie4,58,83
especie4,59,86
especie4,60,85
especie4,61,78
especie4,62,83
especie4,63,70
especie4,64,72
especie4,65,77
especie4,66,80
especie4,67,82
especie4,68,80
especie4,69,85
especie4,70,88
especie4,71,82
especie4,72,84
especie4,73,74
especie4,74,85
especie4,75,75
especie4,76,83
especie4,77,76
especie4,78,80
especie4,79,92
especie4,80,89
especie4,81,82
especie4,82,82
especie4,83,105
especie4,84,78
especie4,85,88
especie4,86,87
especie4,87,98
especie4,88,98
especie4,89,84
especie4,90,80
especie4,91,79
especie4,92,77
especie5,1,129
especie5,2,99
especie5,3,117
especie5,4,128
especie5,5,130
especie5,6,122
especie5,7,141
especie5,8,130
especie5,9,150
especie5,10,106
especie5,11,150
especie5,12,124
especie6,1,117
especie6,2,215
especie6,3,135
especie6,4,148
especie6,5,130
especie6,6,156
especie6,7,119
especie6,8,130
especie6,9,126
especie6,10,179
especie6,11,141
especie6,12,150
especie6,13,120
especie6,14,210
especie6,15,269
especie6,16,274
especie6,17,210
especie6,18,123
especie6,19,225
especie7,1,78
especie7,2,77
especie7,3,72
especie7,4,75
especie7,5,71
especie7,6,75
especie7,7,90
especie7,8,83
especie7,9,71
especie7,10,70
especie7,11,67
especie7,12,65
especie7,13,71
especie7,14,70
especie7,15,69
especie7,16,83
especie7,17,70
especie7,18,71
especie7,19,70
especie7,20,70
especie7,21,65
especie7,22,80
especie7,23,73
especie7,24,81
especie7,25,74
especie7,26,75
especie7,27,72
especie7,28,67
especie7,29,74
especie7,30,72
especie7,31,72
especie7,32,78
especie7,33,73
especie7,34,73
especie7,35,73
especie7,36,69
especie7,37,68
especie7,38,81
especie7,39,78
especie7,40,82
especie7,41,73
especie7,42,75
especie7,43,77
especie7,44,78
especie7,45,73
especie7,46,70
especie7,47,81
especie7,48,78
especie7,49,74
especie7,50,78
especie7,51,80
especie7,52,84
especie7,53,86
especie7,54,83
especie7,55,83
especie7,56,81
especie7,57,85
especie7,58,86
especie7,59,94
especie7,60,88
especie7,61,89
especie7,62,85
especie7,63,79
especie7,64,93
especie7,65,88
especie7,66,80
especie7,67,87
especie7,68,81
especie7,69,86
especie7,70,88
especie7,71,82
especie7,72,78
especie7,73,88
especie7,74,86
especie7,75,82
especie7,76,88
especie7,77,85
especie7,78,85
especie7,79,91
especie7,80,87
especie7,81,88
especie7,82,102
especie7,83,90
especie7,84,90
especie7,85,85
especie7,86,90
especie7,87,76
especie7,88,87
especie7,89,86
especie7,90,83
especie7,91,80
especie7,92,97
especie7,93,83
especie7,94,90
especie7,95,98
especie7,96,86
especie7,97,90
especie7,98,84
especie7,99,84
especie7,100,95
